text,reason,sentiment,source
my cousins went home,family,negative,generated
we didnt go on the trip because dad had work,family,negative,generated
my baby brother cries all night,family,negative,generated
my sister blamed me,family,negative,generated
appa shouted at us,family,negative,generated
my parents were arguing,family,negative,generated
i miss my grandpa,family,negative,generated
amma forgot my school concert,family,negative,generated
my brother keeps teasing me,family,negative,generated
dad didnt keep his promise,family,negative,generated
my big sister wont let me in her room,family,negative,generated
i have to share my room,family,negative,generated
mom said i cant go outside,family,negative,generated
my aunt moved far away,family,negative,generated
my dad works at night so i dont see him,family,negative,generated
my brother ate my share of cake,family,negative,generated
my cousin broke my doll,family,negative,generated
i was blamed for what my sister did,family,negative,generated
we moved house and i miss the old one,family,negative,generated
grandma is in hospital,family,negative,generated
my parents didnt come to sports meet,family,negative,generated
amma was cross because i was late,family,negative,generated
my baby sister tore my book,family,negative,generated
dad forgot to call me,family,negative,generated
my brother said i am stupid,family,negative,generated
i am sad becuz thaththa went away again,family,negative,generated
my uncle left early,family,negative,generated
mom compared me with my cousin,family,negative,generated
i wasnt allowed to go with my family to the wedding,family,negative,generated
my sister got a present and i didnt,family,negative,generated
my parents said no tv this week,family,negative,generated
no one at home listened to me,family,negative,generated
my brother woke me up too early,family,negative,generated
my grandparents didnt visit this year,family,negative,generated
i got scolded by mummy,family,negative,generated
my brother took the remote,family,negative,generated
amma went to work and i stayed with aunty,family,negative,generated
dad was late again,family,negative,generated
my sister is going to a hostel,family,negative,generated
my cousin didnt come for my birthday,family,negative,generated
my parents only talk about the baby,family,negative,generated
achchi was upset with me,family,negative,generated
my brother tore my kite,family,negative,generated
i was surprised amma threw away my old shoes,family,negative,generated
papa couldnt come home for new year,family,negative,generated
nanda was angry at me,family,negative,generated
we had to leave the family trip early,family,negative,generated
my mother said i was naughty,family,negative,generated
i want my dad to come home soon,family,negative,generated
my sistr always gets the window seat,family,negative,generated
i won the video game,playing,positive,generated
i built a big lego tower,playing,positive,generated
i scored a goal in football,playing,positive,generated
i drew a rainbow picture,playing,positive,generated
i learned to ride my bicycle without help,playing,positive,generated
we flew a kite and it went so high,playing,positive,generated
my favorite cartoon was on tv,playing,positive,generated
i finished my puzzle,playing,positive,generated
i played in the rain,playing,positive,generated
i got to the next level in my game,playing,positive,generated
i swam in the pool today,playing,positive,generated
i made a sand castle,playing,positive,generated
i won at snakes and ladders,playing,positive,generated
i can do a cartwheel now,playing,positive,generated
the new episode of my show came out,playing,positive,generated
i played hide and seek,playing,positive,generated
i coloured the whole book,playing,positive,generated
i jumped very high on the trampoline,playing,positive,generated
i made a paper boat and it floated,playing,positive,generated
i played cricket and hit a six,playing,positive,generated
my team won the match,playing,positive,generated
i practised piano and it sounded nice,playing,positive,generated
i made a clay elephant,playing,positive,generated
i climbed the tall tree,playing,positive,generated
i watched a funny movie,playing,positive,generated
i played with my new toy car,playing,positive,generated
i learned a new dance,playing,positive,generated
i painted a big sun and a house,playing,positive,generated
i raced my bike down the hill,playing,positive,generated
i blew huge bubbles,playing,positive,generated
i played football till dark,playing,positive,generated
playing cricket is the best,playing,positive,generated
my robot toy works,playing,positive,generated
i caught the ball evry time,playing,positive,generated
i was surprised i won the race,playing,positive,generated
i built a fort with pillows,playing,positive,generated
my team didnt lose,playing,positive,generated
i got a high score,playing,positive,generated
i skipped rope 50 times,playing,positive,generated
i played dolls all afternoon,playing,positive,generated
i made a card with glitter,playing,positive,generated
i did a jigsaw with 100 peices,playing,positive,generated
i watched cartoons after homework,playing,positive,generated
we played catch in the garden,playing,positive,generated
i swung really high on the swing,playing,positive,generated
my kite didnt fall down,playing,positive,generated
i played ludo and won,playing,positive,generated
i sang my favrite song loud,playing,positive,generated
i built a train track,playing,positive,generated
badminton was fun today,playing,positive,generated
i made a mask out of paper,playing,positive,generated
i finished my comic book,playing,positive,generated
i learned to whistle,playing,positive,generated
i played in the sand pit,playing,positive,generated
i was happy playing with my blocks,playing,positive,generated
i did a handstand,playing,positive,generated
my paper plane flew far,playing,positive,generated
i skated for the first time,playing,positive,generated
i drew a dragon,playing,positive,generated
i got to play games for one hour,playing,positive,generated
i didnt win the game,playing,negative,generated
my kite got stuck in a tree,playing,negative,generated
we lost the cricket match,playing,negative,generated
my lego tower fell down,playing,negative,generated
the tv was not working so no cartoons,playing,negative,generated
i couldnt finish the level,playing,negative,generated
my toy car broke,playing,negative,generated
our football game ended too soon,playing,negative,generated
i cant ride my bike yet,playing,negative,generated
my drawing got ruined by water,playing,negative,generated
this board game is too tricky for me,playing,negative,generated
i lost at chess again,playing,negative,generated
my balloon popped,playing,negative,generated
my puzzle has a missing piece,playing,negative,generated
my show got cancelled,playing,negative,generated
i missed the goal,playing,negative,generated
my team lost becuz i dropped the ball,playing,negative,generated
the batteries in my robot died,playing,negative,generated
there was no wind to fly my kite,playing,negative,generated
my sand castle got washed away,playing,negative,generated
my crayons are all broken,playing,negative,generated
the swing was broken,playing,negative,generated
i was out first in cricket,playing,negative,generated
my paper plane wont fly,playing,negative,generated
i tried a cartwheel and landed on my bum,playing,negative,generated
my game got deleted,playing,negative,generated
no time to play today,playing,negative,generated
the ball went over the wall,playing,negative,generated
my paint spilled all over my picture,playing,negative,generated
the cartoon ended too fast,playing,negative,generated
i got stuck on the same level,playing,negative,generated
i lost the race,playing,negative,generated
i keep falling when i skate,playing,negative,generated
tv time is over,playing,negative,generated
my dolls arm came off,playing,negative,generated
i didnt get a turn on the slide,playing,negative,generated
my bubbles wont blow,playing,negative,generated
the park was closed,playing,negative,generated
i couldnt find the last puzzle piece,playing,negative,generated
my phone game froze,playing,negative,generated
i came last in musical chairs,playing,negative,generated
my drawing looks bad,playing,negative,generated
my kite string snapped,playing,negative,generated
my clay model cracked,playing,negative,generated
the football was flat,playing,negative,generated
my bat is too heavy for me,playing,negative,generated
i lost every round of carrom,playing,negative,generated
the movie was scary,playing,negative,generated
my rubik cube is too hard,playing,negative,generated
the remote car ran out of power,playing,negative,generated
i missed my favorite show,playing,negative,generated
my block tower got knocked over,playing,negative,generated
i coloured outside the lines,playing,negative,generated
my swimming was not good today,playing,negative,generated
i was found first in hide and seek,playing,negative,generated
our team lost by one goal,playing,negative,generated
i didnt get to play my game today,playing,negative,generated
the video game is too scary,playing,negative,generated
my toy train stoped working,playing,negative,generated
i cant draw hands,playing,negative,generated
my dog learned to sit,pets,positive,generated
my cat had kittens,pets,positive,generated
we got a new puppy,pets,positive,generated
my fish is swimming happily,pets,positive,generated
a butterfly sat on my hand,pets,positive,generated
i saw an elephant at the zoo,pets,positive,generated
my parrot said my name,pets,positive,generated
my rabbit ate from my hand,pets,positive,generated
a stray dog wagged its tail at me,pets,positive,generated
my kitten sleeps with me,pets,positive,generated
i fed the ducks at the lake,pets,positive,generated
we found a baby bird and it flew,pets,positive,generated
my dog came home,pets,positive,generated
i saw monkeys on the way to school,pets,positive,generated
my hamster ran in his wheel,pets,positive,generated
i gave my dog a bath,pets,positive,generated
my cat purred on my lap,pets,positive,generated
i rode a horse at the fair,pets,positive,generated
my tortoise ate a leaf,pets,positive,generated
the puppy licked my face,pets,positive,generated
i saw a peacock dance,pets,positive,generated
my dog is better now,pets,positive,generated
our cat played with a ball,pets,positive,generated
i named my new goldfish bubbles,pets,positive,generated
my dog waited for me at the gate,pets,positive,generated
a squirel came close to me,pets,positive,generated
the zoo had baby lions,pets,positive,generated
my birds sang in the morning,pets,positive,generated
my cat is back home,pets,positive,generated
i taught my parrot a new word,pets,positive,generated
my puppy chased his tail,pets,positive,generated
we saw dolphins at the sea,pets,positive,generated
my dog loves me,pets,positive,generated
i got to hold a chick,pets,positive,generated
a frog jumped in our garden and i laughed,pets,positive,generated
my kitten played with a string,pets,positive,generated
the cows let me pat them,pets,positive,generated
my dog got a new collar,pets,positive,generated
i saw a big turtle at the beach,pets,positive,generated
my frends dog likes me,pets,positive,generated
i found a ladybug,pets,positive,generated
my cat is so fluffy,pets,positive,generated
my fish had babies,pets,positive,generated
the stray cat ate the food i gave,pets,positive,generated
my dog barks hello when i come,pets,positive,generated
i visited the elephant orphanage,pets,positive,generated
my puppy walked on a leash,pets,positive,generated
the owl at the zoo turned its head,pets,positive,generated
i was surprised a bird built a nest in our window,pets,positive,generated
my rabbit is so soft,pets,positive,generated
we adopted a kitten from the street,pets,positive,generated
my dog fetched the stick,pets,positive,generated
i saw a rainbow fish in the tank,pets,positive,generated
the lizzard on the wall was funny,pets,positive,generated
my cat sat next to me while i read,pets,positive,generated
i fed my goldfish all by myself,pets,positive,generated
the goats at the farm were cute,pets,positive,generated
my puppy slept all day on my bed,pets,positive,generated
a baby monkey held its mother,pets,positive,generated
my dog did a trick for evryone,pets,positive,generated
dog sick,pets,negative,generated
my dog ran away,pets,negative,generated
my fish died,pets,negative,generated
my cat scratched me,pets,negative,generated
the stray puppy was crying in the rain,pets,negative,generated
my parrot flew away,pets,negative,generated
we had to give our dog to someone else,pets,negative,generated
my hamster is not eating,pets,negative,generated
i saw a hurt bird,pets,negative,generated
my cat didnt come home last night,pets,negative,generated
a dog barked at me and i was scared,pets,negative,generated
the monkeys stole our mangoes,pets,negative,generated
my rabbit bit my finger,pets,negative,generated
my kitten is lost,pets,negative,generated
the zoo lion looked sad,pets,negative,generated
my dog chewed my shoes,pets,negative,generated
my fish tank got dirty,pets,negative,generated
i cant have a pet,pets,negative,generated
our old dog is very slow now,pets,negative,generated
a crow took my snack,pets,negative,generated
the cat next door is hungry,pets,negative,generated
my puppy has fleas,pets,negative,generated
my tortoise is hiding and wont come out,pets,negative,generated
i was surprised to see a snake in the garden,pets,negative,generated
my budgie is sick,pets,negative,generated
the vet gave my cat an injection,pets,negative,generated
my dog is scared of thunder,pets,negative,generated
a bee stung me,pets,negative,generated
the stray dogs looked so thin,pets,negative,generated
my cat got stuck on the roof,pets,negative,generated
my goldfish jumped out of the bowl,pets,negative,generated
our kittens went to a new home,pets,negative,generated
the ducks flew away when i came,pets,negative,generated
my dog doesnt want to play,pets,negative,generated
i couldnt see the tiger at the zoo,pets,negative,generated
my cat ate my fish,pets,negative,generated
the neighbours dog keeps barking all night,pets,negative,generated
my hen stopped laying eggs,pets,negative,generated
a rat was in the kitchen,pets,negative,generated
my pet frog escaped,pets,negative,generated
our dog hurt his leg,pets,negative,generated
my puppy peed on my bed,pets,negative,generated
we lost our bird,pets,negative,generated
a cat was crying outside all night,pets,negative,generated
the zoo was closed so no animals,pets,negative,generated
my fish looks sick,pets,negative,generated
my dog is too old to walk,pets,negative,generated
i miss my old dog,pets,negative,generated
my hamster bit me,pets,negative,generated
the pony wouldnt let me ride,pets,negative,generated
my cat is angry with me,pets,negative,generated
the puppy in the shop looked sad,pets,negative,generated
i found a dead bird,pets,negative,generated
my dog tore my pillow,pets,negative,generated
our cow is sick,pets,negative,generated
the cat ran off when i tried to pet it,pets,negative,generated
i could not find my turtle,pets,negative,generated
the fish in our pond disappeared,pets,negative,generated
my dog was lost for a whole day,pets,negative,generated
my kiten wont eat her food,pets,negative,generated
it rained and the garden looks nice,other,positive,generated
my tooth fell out and i got a coin,other,positive,generated
i had ice cream,other,positive,generated
it is my birthday today,other,positive,generated
i got a new dress,other,positive,generated
the sun came out after the rain,other,positive,generated
i am better now after my fever,other,positive,generated
we had kottu for dinner,other,positive,generated
i found my lost pencil,other,positive,generated
i got a present in the post,other,positive,generated
it was cool and windy today,other,positive,generated
i ate my favourite chocolate,other,positive,generated
my cold went away,other,positive,generated
i found ten rupees on the road,other,positive,generated
the cake was yummy,other,positive,generated
i got new shoes,other,positive,generated
the lights came back on,other,positive,generated
the rain made a rainbow,other,positive,generated
i won a lucky draw,other,positive,generated
i got a balloon at the shop,other,positive,generated
i ate mangoes from the tree,other,positive,generated
my cut healed,other,positive,generated
i got a watch as a gift,other,positive,generated
we had hot soup on a cold day,other,positive,generated
my water bottle was in the lost box,other,positive,generated
the wether was perfect today,other,positive,generated
i had pancakes for breakfast,other,positive,generated
i got a surprise gift,other,positive,generated
the doctor said i am healthy,other,positive,generated
my wobbly tooth finally came out,other,positive,generated
i ate string hoppers,other,positive,generated
my new bag has a zip,other,positive,generated
i got a letter with my name on it,other,positive,generated
it was cool in the evening,other,positive,generated
i didnt get sick this year,other,positive,generated
my medicine tasted nice for once,other,positive,generated
i found a shiny stone,other,positive,generated
we had a party at home,other,positive,generated
i got to wear my new sandals,other,positive,generated
i blew out all my candles,other,positive,generated
i had a nice dream,other,positive,generated
there was a big full moon,other,positive,generated
the rain stopped,other,positive,generated
i got a sticker book from the shop,other,positive,generated
the watermelon was sweet,other,positive,generated
my headache is gone,other,positive,generated
i was surprised to find a gift in my shoe,other,positive,generated
the bus ride was fun,other,positive,generated
i got a haircut and it looks cool,other,positive,generated
the ice cream van came,other,positive,generated
i had fried rice,other,positive,generated
my missing earring turned up,other,positive,generated
it was sunny so we dried clothes,other,positive,generated
i slept very well,other,positive,generated
i got a new umbrela,other,positive,generated
i got better from chicken pox,other,positive,generated
my birthday cake was huge,other,positive,generated
someone gave me a flower,other,positive,generated
my wish came true,other,positive,generated
i woke up early and saw the sunrise,other,positive,generated
my tooth fell out suddenly,other,negative,generated
i have a fever,other,negative,generated
it rained and we couldnt go out,other,negative,generated
i lost my water bottle,other,negative,generated
i dropped my ice cream,other,negative,generated
my stomach hurts,other,negative,generated
i fell and hurt my knee,other,negative,generated
my new shoes got dirty,other,negative,generated
it was too hot today,other,negative,generated
i had to take bitter medicine,other,negative,generated
my birthday is over,other,negative,generated
i didnt get a gift,other,negative,generated
the thunder was loud and scary,other,negative,generated
i broke my glasses,other,negative,generated
my lunch fell on the floor,other,negative,generated
i got a cut on my finger,other,negative,generated
i have a cough,other,negative,generated
i lost my eraser,other,negative,generated
the power went off,other,negative,generated
i had an injection,other,negative,generated
my ice cream melted,other,negative,generated
there was no cake left,other,negative,generated
i got wet in the rain,other,negative,generated
my balloon flew away,other,negative,generated
i have chicken pox,other,negative,generated
the food was too spicy,other,negative,generated
i had a bad dream,other,negative,generated
i lost my pencil box on the bus,other,negative,generated
i bumped my head,other,negative,generated
my nose is blocked,other,negative,generated
i didnt like the dinner,other,negative,generated
my cake was burnt,other,negative,generated
the lights went out in the storm,other,negative,generated
i was sick on my birthday,other,negative,generated
i lost a coin,other,negative,generated
i spilled juice on my dress,other,negative,generated
my toe hurts,other,negative,generated
i got a rash on my arm,other,negative,generated
my umbrella broke in the wind,other,negative,generated
the flood came to our road,other,negative,generated
my tooth is paining,other,negative,generated
i missed the bus,other,negative,generated
it was too cold to sleep,other,negative,generated
i am so hungry,other,negative,generated
my shoe got lost at the beach,other,negative,generated
my plaster came off and it hurt,other,negative,generated
i had to go to hospital,other,negative,generated
i got a gift but it was broken,other,negative,generated
i fell off the step,other,negative,generated
the road was too dusty,other,negative,generated
my favorite cup broke,other,negative,generated
rain came through the roof,other,negative,generated
i have a sore throat,other,negative,generated
my watch stoped working,other,negative,generated
it suddenly started to pour,other,negative,generated
the milk was sour,other,negative,generated
my new toy was the wrong one,other,negative,generated
my hair got tangled,other,negative,generated
i woke up with a runny nose,other,negative,generated
we got stuck in trafic,other,negative,generated
