file,target,text,source,true_label,predicted_label,confidence
test.csv,sentiment,The power cut came right when it got dark.,generated,negative,positive,0.873
test.csv,sentiment,sir put me out of the class for laughing,kidstyle,negative,positive,0.504
test.csv,sentiment,the boys sed i cant play becos im small,kidstyle,negative,positive,0.684
test.csv,sentiment,thaththa is always on his phone and dont play with me,kidstyle,negative,positive,0.519
test.csv,sentiment,a goose chased me at achchis house,kidstyle,negative,positive,0.938
test_noisy.csv,sentiment,This morning the teacher put my picture on the wall.,generated,positive,negative,0.513
test_noisy.csv,sentiment,My teacher wrote excellent in my book.,generated,positive,negative,0.74
test_noisy.csv,sentiment,When Sir read the marks mine was the lowest.,generated,negative,positive,0.561
test_noisy.csv,sentiment,Tomorrow is the big exam and my tummy feels funny.,generated,negative,positive,0.795
test_noisy.csv,sentiment,I felt silly when I read the wrong word in class.,generated,negative,positive,0.679
test_noisy.csv,sentiment,this term my marks whent down,generated,negative,positive,0.805
test_noisy.csv,sentiment,The class was so loud that Miss got mad at all of us.,generated,negative,positive,0.694
test_noisy.csv,sentiment,At school I couldn't understand anything in maths.,generated,negative,positive,0.584
test_noisy.csv,sentiment,Today my friend said I can't come to her party.,generated,negative,positive,0.835
test_noisy.csv,sentiment,my best friend chose to sit next to the nu boy,generated,negative,positive,0.74
test_noisy.csv,sentiment,Yesterday Kavindu said I'm not his friend any more.,generated,negative,positive,0.806
test_noisy.csv,sentiment,nobody from my class wrote in my card,generated,negative,positive,0.801
test_noisy.csv,sentiment,At the party my frends ignored me the whole time.,generated,negative,positive,0.939
test_noisy.csv,sentiment,When I woke up Achchi was sitting next to me.,generated,positive,negative,0.687
test_noisy.csv,sentiment,Wen Thaththa left for Qatar I cried at the airport.,generated,negative,positive,0.641
test_noisy.csv,sentiment,Today Amma said I have to look after the baby all day.,generated,negative,positive,0.77
test_noisy.csv,sentiment,Yesterday my sister and I got in trouble because of her.,generated,negative,positive,0.522
test_noisy.csv,sentiment,Nobody at home remembered my prize day.,generated,negative,positive,0.557
test_noisy.csv,sentiment,"Ugh, my cousins messed up my room agen.",generated,negative,positive,0.593
test_noisy.csv,sentiment,Mum and Dad were cross with me all evening.,generated,negative,positive,0.512
test_noisy.csv,sentiment,my dad is always on his phone,generated,negative,positive,0.699
test_noisy.csv,sentiment,Yesterday my kite tore in half.,generated,negative,positive,0.531
test_noisy.csv,sentiment,My team got knocked out in the first round.,generated,negative,positive,0.606
test_noisy.csv,sentiment,This morning the swings were all taken.,generated,negative,positive,0.789
test_noisy.csv,sentiment,at the fair i didn't win any games,generated,negative,positive,0.725
test_noisy.csv,sentiment,We only got to play for five minutes.,generated,negative,positive,0.539
test_noisy.csv,sentiment,guess what our dogg had four puppies,generated,positive,negative,0.773
test_noisy.csv,sentiment,My goldfish swims after my finger on the glass.,generated,positive,negative,0.589
test_noisy.csv,sentiment,ugh a monky grabbed my banana at the temple,generated,negative,positive,0.93
test_noisy.csv,sentiment,Yesterday a big dog chased me and I cried.,generated,negative,positive,0.689
test_noisy.csv,sentiment,My hamster got out and we can't find him.,generated,negative,positive,0.741
test_noisy.csv,sentiment,Why did the kitten scratch me when I was being nice?,generated,negative,positive,0.85
test_noisy.csv,sentiment,At night I heard a stray cat meowing and meowing.,generated,negative,positive,0.759
test_noisy.csv,sentiment,The ducks at the pond were all gone when we went.,generated,negative,positive,0.9
test_noisy.csv,sentiment,My fever went down and I can go out again.,generated,positive,negative,0.702
test_noisy.csv,sentiment,On Poya day the lanterns looked so beautiful.,generated,positive,negative,0.562
test_noisy.csv,sentiment,it rained all day and i had to stay inside,generated,negative,positive,0.657
test_noisy.csv,sentiment,My new sandals broke on the first day.,generated,negative,positive,0.619
test_noisy.csv,sentiment,The chicken pox made me itch all night.,generated,negative,positive,0.713
test_noisy.csv,sentiment,Why is it always so hot in the afternoon?,generated,negative,positive,0.509
test_noisy.csv,sentiment,The present I opened was just socks.,generated,negative,positive,0.626
test_noisy.csv,sentiment,the power cut came right wen it got dark,generated,negative,positive,0.829
test_noisy.csv,sentiment,sir put me out of the class for laughing,kidstyle,negative,positive,0.504
test_noisy.csv,sentiment,the boys sed i cant play becos im small,kidstyle,negative,positive,0.684
test_noisy.csv,sentiment,a goose chasd me at achchis house,kidstyle,negative,positive,0.936
