file,target,text,source,true_label,predicted_label,confidence
test_noisy.csv,sentiment,The ducks at the pond were all gone when we went.,generated,negative,positive,0.694
test_noisy.csv,sentiment,"Yay, it's my birthdey next week",generated,positive,negative,0.601
test_noisy.csv,sentiment,My fever went down and I can go out again.,generated,positive,negative,0.547
test_noisy.csv,sentiment,"Wow, the birthday cake had three layers!",generated,positive,negative,0.594
test_noisy.csv,sentiment,On Poya day the lanterns looked so beautiful.,generated,positive,negative,0.502
test_noisy.csv,sentiment,When I opened my lunch box it was empty.,generated,negative,positive,0.529
test_noisy.csv,sentiment,Yesterday I tripped and scraped my elbow.,generated,negative,positive,0.584
test_noisy.csv,sentiment,My new sandals broke on the first day.,generated,negative,positive,0.581
test_noisy.csv,sentiment,The chicken pox made me itch all night.,generated,negative,positive,0.722
test_noisy.csv,sentiment,The present I opened was just socks.,generated,negative,positive,0.535
test_noisy.csv,sentiment,the power cut came right wen it got dark,generated,negative,positive,0.695
test_noisy.csv,sentiment,sir put me out of the class for laughing,kidstyle,negative,positive,0.621
test_noisy.csv,sentiment,a goose chasd me at achchis house,kidstyle,negative,positive,0.819
